Train No.,train Name,Source Station Code,Destination station Code,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Train Type
12594,BPL-LJN-EXP,BPL,LJN,y,,,,,,,GBR
10103,MANDOVI EXPRESS,CSTM,MAO,y,y,y,y,y,y,y,MEX
10104,MANDOVI EXPRESS,MAO,CSTM,y,y,y,y,y,y,y,MEX
10111,KONKAN KANYA EX,CSTM,MAO,y,y,y,y,y,y,y,MEX
10112,KONKAN KANYA EXPRESS,MAO,CSTM,y,y,y,y,y,y,y,MEX
10215,MAO-ERS,MAO,ERS,y,,,,,,,SUF
10216,ERS-MAO SPL,ERS,MAO,,y,,,,,,SUF
11001,SNSI-PVR EXP,SNSI,PVR,y,,y,,y,,,MEX
11002,PVR-SNSI EXP,PVR,SNSI,y,,y,,y,,,MEX
11003,DR-SWV RAJYA RANI EXP,DR,SWV,y,y,y,y,y,y,y,MEX
11004,SWV-DR RAJYA RANI EXP,SWV,DR,y,y,y,y,y,y,y,MEX
11005,DR-PDY EXPRESS,DR,PDY,y,y,,,,y,,MEX
11006,CHALUKYA EXP,PDY,DR,y,,y,y,,,,MEX
11007,DECCAN EXPRESS,CSTM,PUNE,y,y,y,y,y,y,y,MEX
11008,DECCAN EXPRESS,PUNE,CSTM,y,y,y,y,y,y,y,MEX
11009,SINHAGAD EXP,CSTM,PUNE,y,y,y,y,y,y,y,MEX
11010,SINHAGAD EXP,PUNE,CSTM,y,y,y,y,y,y,y,MEX
11011,LTT-NED EXPRESS,LTT,NED,,,,y,,,,MEX
11012,NED-LTT  EXP,NED,LTT,,,,,y,,,MEX
11013,COIMBATORE EXP,LTT,CBE,y,y,y,y,y,y,y,MEX
11014,LOKMANYA TT EXP,CBE,LTT,y,y,y,y,y,y,y,MEX
11015,KUSHINAGAR EXP,LTT,GKP,y,y,y,y,y,y,y,MEX
11016,KUSHINAGAR EXP,GKP,LTT,y,y,y,y,y,y,y,MEX
11017,LTT-KIK WEEKLY EXPRESS,LTT,KIK,,,,,,,y,MEX
11018,KARAIKAL LTT EXP,KIK,LTT,,y,,,,,,MEX
11019,KONARK EXPRESS,CSTM,BBS,y,y,y,y,y,y,y,MEX
